iteration,Assumed probability,score
1,0.25,0.986244019138756
1,0.5,0.9850478468899522
1,0.75,0.9844497607655502
1,1,0.9850478468899522
2,0.25,0.9820574162679426
2,0.5,0.9796650717703349
2,0.75,0.9814593301435407
2,1,0.9796650717703349
3,0.25,0.979066985645933
3,0.5,0.9802631578947368
3,0.75,0.9784688995215312
3,1,0.9808612440191388
4,0.25,0.9814593301435407
4,0.5,0.9802631578947368
4,0.75,0.9784688995215312
4,1,0.979066985645933
5,0.25,0.9802631578947368
5,0.5,0.9778708133971292
5,0.75,0.9766746411483254
5,1,0.9754784688995215
6,0.25,0.9850478468899522
6,0.5,0.9826555023923444
6,0.75,0.9820574162679426
6,1,0.9808612440191388
7,0.25,0.9814593301435407
7,0.5,0.9796650717703349
7,0.75,0.9802631578947368
7,1,0.9784688995215312
8,0.25,0.9826555023923444
8,0.5,0.9820574162679426
8,0.75,0.9802631578947368
8,1,0.9826555023923444
9,0.25,0.9826555023923444
9,0.5,0.9784688995215312
9,0.75,0.9784688995215312
9,1,0.9796650717703349
10,0.25,0.9844497607655502
10,0.5,0.9820574162679426
10,0.75,0.9802631578947368
10,1,0.9778708133971292
11,0.25,0.9820574162679426
11,0.5,0.9808612440191388
11,0.75,0.9808612440191388
11,1,0.9802631578947368
12,0.25,0.9802631578947368
12,0.5,0.9772727272727273
12,0.75,0.9748803827751196
12,1,0.9730861244019139
13,0.25,0.9802631578947368
13,0.5,0.9796650717703349
13,0.75,0.9772727272727273
13,1,0.9754784688995215
14,0.25,0.9832535885167464
14,0.5,0.9814593301435407
14,0.75,0.979066985645933
14,1,0.9772727272727273
15,0.25,0.9826555023923444
15,0.5,0.9784688995215312
15,0.75,0.9778708133971292
15,1,0.9760765550239234
16,0.25,0.979066985645933
16,0.5,0.9778708133971292
16,0.75,0.9760765550239234
16,1,0.9766746411483254
17,0.25,0.9784688995215312
17,0.5,0.9760765550239234
17,0.75,0.9748803827751196
17,1,0.9760765550239234
18,0.25,0.9802631578947368
18,0.5,0.9778708133971292
18,0.75,0.979066985645933
18,1,0.9796650717703349
19,0.25,0.9826555023923444
19,0.5,0.9796650717703349
19,0.75,0.9802631578947368
19,1,0.9778708133971292
20,0.25,0.9784688995215312
20,0.5,0.9772727272727273
20,0.75,0.9754784688995215
20,1,0.9760765550239234
21,0.25,0.979066985645933
21,0.5,0.9778708133971292
21,0.75,0.9760765550239234
21,1,0.9760765550239234
22,0.25,0.9802631578947368
22,0.5,0.9778708133971292
22,0.75,0.9778708133971292
22,1,0.9772727272727273
23,0.25,0.9784688995215312
23,0.5,0.9760765550239234
23,0.75,0.9766746411483254
23,1,0.9772727272727273
24,0.25,0.9808612440191388
24,0.5,0.979066985645933
24,0.75,0.9772727272727273
24,1,0.9748803827751196
25,0.25,0.9844497607655502
25,0.5,0.9808612440191388
25,0.75,0.9778708133971292
25,1,0.9802631578947368
26,0.25,0.9820574162679426
26,0.5,0.9796650717703349
26,0.75,0.9802631578947368
26,1,0.9796650717703349
27,0.25,0.979066985645933
27,0.5,0.9766746411483254
27,0.75,0.9754784688995215
27,1,0.9748803827751196
28,0.25,0.9808612440191388
28,0.5,0.979066985645933
28,0.75,0.9754784688995215
28,1,0.9748803827751196
29,0.25,0.9802631578947368
29,0.5,0.979066985645933
29,0.75,0.9778708133971292
29,1,0.9748803827751196
30,0.25,0.9844497607655502
30,0.5,0.9832535885167464
30,0.75,0.9820574162679426
30,1,0.9784688995215312
31,0.25,0.9802631578947368
31,0.5,0.9772727272727273
31,0.75,0.9766746411483254
31,1,0.9748803827751196
32,0.25,0.9820574162679426
32,0.5,0.9796650717703349
32,0.75,0.9766746411483254
32,1,0.9766746411483254
33,0.25,0.9856459330143541
33,0.5,0.9832535885167464
33,0.75,0.9820574162679426
33,1,0.9814593301435407
34,0.25,0.9814593301435407
34,0.5,0.9802631578947368
34,0.75,0.9784688995215312
34,1,0.9802631578947368
35,0.25,0.9844497607655502
35,0.5,0.9832535885167464
35,0.75,0.9832535885167464
35,1,0.9820574162679426
36,0.25,0.9796650717703349
36,0.5,0.9754784688995215
36,0.75,0.9748803827751196
36,1,0.972488038277512
37,0.25,0.9814593301435407
37,0.5,0.979066985645933
37,0.75,0.9772727272727273
37,1,0.9766746411483254
38,0.25,0.9838516746411483
38,0.5,0.9826555023923444
38,0.75,0.9808612440191388
38,1,0.9826555023923444
39,0.25,0.9808612440191388
39,0.5,0.9808612440191388
39,0.75,0.9814593301435407
39,1,0.9796650717703349
40,0.25,0.9772727272727273
40,0.5,0.9772727272727273
40,0.75,0.9754784688995215
40,1,0.9748803827751196
41,0.25,0.9784688995215312
41,0.5,0.9760765550239234
41,0.75,0.9754784688995215
41,1,0.9748803827751196
42,0.25,0.9838516746411483
42,0.5,0.9784688995215312
42,0.75,0.9802631578947368
42,1,0.9802631578947368
43,0.25,0.9802631578947368
43,0.5,0.9784688995215312
43,0.75,0.9748803827751196
43,1,0.9754784688995215
44,0.25,0.9796650717703349
44,0.5,0.9760765550239234
44,0.75,0.9766746411483254
44,1,0.9748803827751196
45,0.25,0.9826555023923444
45,0.5,0.9820574162679426
45,0.75,0.9820574162679426
45,1,0.9814593301435407
46,0.25,0.9808612440191388
46,0.5,0.9784688995215312
46,0.75,0.9778708133971292
46,1,0.9772727272727273
47,0.25,0.9820574162679426
47,0.5,0.9808612440191388
47,0.75,0.9796650717703349
47,1,0.9814593301435407
48,0.25,0.9814593301435407
48,0.5,0.979066985645933
48,0.75,0.9772727272727273
48,1,0.9772727272727273
49,0.25,0.9838516746411483
49,0.5,0.9820574162679426
49,0.75,0.9802631578947368
49,1,0.9778708133971292
50,0.25,0.9868421052631579
50,0.5,0.9814593301435407
50,0.75,0.9802631578947368
50,1,0.9802631578947368
51,0.25,0.9814593301435407
51,0.5,0.9814593301435407
51,0.75,0.979066985645933
51,1,0.979066985645933
52,0.25,0.9868421052631579
52,0.5,0.9832535885167464
52,0.75,0.9802631578947368
52,1,0.979066985645933
53,0.25,0.9820574162679426
53,0.5,0.9820574162679426
53,0.75,0.9784688995215312
53,1,0.9802631578947368
54,0.25,0.9820574162679426
54,0.5,0.979066985645933
54,0.75,0.9784688995215312
54,1,0.9772727272727273
55,0.25,0.9814593301435407
