iteration,scoref,beta,prune_threshold,score
1,gini,0,0,0.8888888888888888
1,gini,0,0.05,0.8888888888888888
1,gini,0,0.1,0.8888888888888888
1,gini,0,0.2,0.8888888888888888
1,gini,0,0.5,0.8888888888888888
1,gini,0,1,0.9111111111111111
1,gini,0,2,0.9111111111111111
1,gini,0,5,0.9111111111111111
1,gini,0.01,0,0.8888888888888888
1,gini,0.01,0.05,0.8888888888888888
1,gini,0.01,0.1,0.8888888888888888
1,gini,0.01,0.2,0.8888888888888888
1,gini,0.01,0.5,0.8888888888888888
1,gini,0.01,1,0.9111111111111111
1,gini,0.01,2,0.9111111111111111
1,gini,0.01,5,0.9111111111111111
1,gini,0.05,0,0.8888888888888888
1,gini,0.05,0.05,0.8888888888888888
1,gini,0.05,0.1,0.8888888888888888
1,gini,0.05,0.2,0.8888888888888888
1,gini,0.05,0.5,0.8888888888888888
1,gini,0.05,1,0.9111111111111111
1,gini,0.05,2,0.9111111111111111
1,gini,0.05,5,0.9111111111111111
1,gini,0.3,0,0.9111111111111111
1,gini,0.3,0.05,0.9111111111111111
1,gini,0.3,0.1,0.9111111111111111
1,gini,0.3,0.2,0.9111111111111111
1,gini,0.3,0.5,0.9111111111111111
1,gini,0.3,1,0.9111111111111111
1,gini,0.3,2,0.9111111111111111
1,gini,0.3,5,0.9111111111111111
1,gini,0.5,0,0.3111111111111111
1,gini,0.5,0.05,0.3111111111111111
1,gini,0.5,0.1,0.3111111111111111
1,gini,0.5,0.2,0.3111111111111111
1,gini,0.5,0.5,0.3111111111111111
1,gini,0.5,1,0.3111111111111111
1,gini,0.5,2,0.3111111111111111
1,gini,0.5,5,0.3111111111111111
1,entropy,0,0,0.8888888888888888
1,entropy,0,0.05,0.8888888888888888
1,entropy,0,0.1,0.8888888888888888
1,entropy,0,0.2,0.8888888888888888
1,entropy,0,0.5,0.8888888888888888
1,entropy,0,1,0.9111111111111111
1,entropy,0,2,0.9111111111111111
1,entropy,0,5,0.9111111111111111
1,entropy,0.01,0,0.8888888888888888
1,entropy,0.01,0.05,0.8888888888888888
1,entropy,0.01,0.1,0.8888888888888888
1,entropy,0.01,0.2,0.8888888888888888
1,entropy,0.01,0.5,0.8888888888888888
1,entropy,0.01,1,0.9111111111111111
1,entropy,0.01,2,0.9111111111111111
1,entropy,0.01,5,0.9111111111111111
1,entropy,0.05,0,0.8888888888888888
1,entropy,0.05,0.05,0.8888888888888888
1,entropy,0.05,0.1,0.8888888888888888
1,entropy,0.05,0.2,0.8888888888888888
1,entropy,0.05,0.5,0.8888888888888888
1,entropy,0.05,1,0.9111111111111111
1,entropy,0.05,2,0.9111111111111111
1,entropy,0.05,5,0.9111111111111111
1,entropy,0.3,0,0.9111111111111111
1,entropy,0.3,0.05,0.9111111111111111
1,entropy,0.3,0.1,0.9111111111111111
1,entropy,0.3,0.2,0.9111111111111111
1,entropy,0.3,0.5,0.9111111111111111
1,entropy,0.3,1,0.9111111111111111
1,entropy,0.3,2,0.9111111111111111
1,entropy,0.3,5,0.9111111111111111
1,entropy,0.5,0,0.9111111111111111
1,entropy,0.5,0.05,0.9111111111111111
1,entropy,0.5,0.1,0.9111111111111111
1,entropy,0.5,0.2,0.9111111111111111
1,entropy,0.5,0.5,0.9111111111111111
1,entropy,0.5,1,0.9111111111111111
1,entropy,0.5,2,0.9111111111111111
1,entropy,0.5,5,0.9111111111111111
2,gini,0,0,0.9111111111111111
2,gini,0,0.05,0.9111111111111111
2,gini,0,0.1,0.9111111111111111
2,gini,0,0.2,0.9111111111111111
2,gini,0,0.5,0.9111111111111111
2,gini,0,1,0.9111111111111111
2,gini,0,2,0.9111111111111111
2,gini,0,5,0.8888888888888888
2,gini,0.01,0,0.9111111111111111
2,gini,0.01,0.05,0.9111111111111111
2,gini,0.01,0.1,0.9111111111111111
2,gini,0.01,0.2,0.9111111111111111
2,gini,0.01,0.5,0.9111111111111111
2,gini,0.01,1,0.9111111111111111
2,gini,0.01,2,0.9111111111111111
2,gini,0.01,5,0.8888888888888888
2,gini,0.05,0,0.9111111111111111
2,gini,0.05,0.05,0.9111111111111111
2,gini,0.05,0.1,0.9111111111111111
2,gini,0.05,0.2,0.9111111111111111
2,gini,0.05,0.5,0.9111111111111111
2,gini,0.05,1,0.9111111111111111
2,gini,0.05,2,0.9111111111111111
2,gini,0.05,5,0.8888888888888888
2,gini,0.3,0,0.8888888888888888
2,gini,0.3,0.05,0.8888888888888888
2,gini,0.3,0.1,0.8888888888888888
2,gini,0.3,0.2,0.8888888888888888
2,gini,0.3,0.5,0.8888888888888888
2,gini,0.3,1,0.8888888888888888
2,gini,0.3,2,0.8888888888888888
2,gini,0.3,5,0.8888888888888888
2,gini,0.5,0,0.2
2,gini,0.5,0.05,0.2
2,gini,0.5,0.1,0.2
2,gini,0.5,0.2,0.2
2,gini,0.5,0.5,0.2
2,gini,0.5,1,0.2
2,gini,0.5,2,0.2
2,gini,0.5,5,0.2
2,entropy,0,0,0.9111111111111111
2,entropy,0,0.05,0.9111111111111111
2,entropy,0,0.1,0.9111111111111111
2,entropy,0,0.2,0.9111111111111111
2,entropy,0,0.5,0.9111111111111111
2,entropy,0,1,0.9111111111111111
2,entropy,0,2,0.9111111111111111
2,entropy,0,5,0.8888888888888888
2,entropy,0.01,0,0.9111111111111111
2,entropy,0.01,0.05,0.9111111111111111
2,entropy,0.01,0.1,0.9111111111111111
2,entropy,0.01,0.2,0.9111111111111111
2,entropy,0.01,0.5,0.9111111111111111
